origtime,latitude,longitude,depth,magnitude,rms,relocated,startRms,locChange,depthChange,timeChange,numNeighbours,neigh_meanDistToCentroid,neigh_centroidToEventDist,neigh_meanDepthDistToCentroid,neigh_centroidToEventDepthDist,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,ddObs_numTTp,ddObs_numTTs,ddObs_numCCp,ddObs_numCCs,ddObs_startResidualMedian,ddObs_startResidualMAD,ddObs_finalResidualMedian,ddObs_finalResidualMAD
2021-01-31T18:00:15.838603Z,64.004075,-21.361692,1.6552,0.21,0.037,true,1.445,0.099,0.028,0.007,68,0.231,0.029,0.132,-0.005,7,3,2.485,4.501,7.419,289,26,141,44,0.0039,0.0081,0.0006,0.0017
2021-01-31T11:24:51.014353Z,64.059698,-21.399400,2.5259,-0.18,0.178,true,0.235,0.147,-0.200,0.033,75,0.188,0.057,0.154,-0.048,7,4,3.003,4.993,6.354,285,10,180,73,-0.0099,0.0117,-0.0012,0.0019
2021-01-31T10:20:34.99642Z,64.107702,-21.153323,-0.5020,0.22,0.127,true,0.589,0.573,0.000,0.058,41,5.950,2.742,1.268,-3.303,8,0,1.200,11.776,19.757,158,0,0,0,0.0100,0.0524,0.0023,0.0030
2021-01-31T10:15:52.017942Z,64.070755,-21.275672,4.3270,0.14,0.285,true,0.482,0.068,0.305,-0.012,61,0.968,0.236,0.309,-0.069,17,8,5.175,7.139,12.942,316,103,182,52,-0.0084,0.0131,-0.0009,0.0068
2021-01-31T09:41:49.126845Z,64.063371,-21.377269,1.6377,0.33,0.222,true,0.618,0.175,0.121,0.012,57,0.345,0.029,0.233,-0.045,10,4,2.566,4.777,13.040,287,18,130,52,-0.0051,0.0106,0.0001,0.0021
2021-01-31T09:41:18.307797Z,64.069433,-21.382976,0.5018,0.31,0.142,true,0.285,0.381,-0.242,-0.213,56,0.781,0.281,0.546,-0.272,8,0,2.284,4.055,6.474,191,0,156,0,-0.1499,0.0210,-0.0012,0.0052
2021-01-31T09:40:16.975277Z,64.063445,-21.377175,1.6455,0.36,0.183,true,0.177,0.267,-0.316,0.010,54,0.511,0.163,0.130,0.170,10,6,2.578,4.786,13.033,215,24,181,67,0.0103,0.0134,-0.0003,0.0013
2021-01-31T09:30:02.789261Z,64.063880,-21.376666,1.6401,0.46,0.223,true,0.408,0.157,0.091,0.007,59,0.422,0.101,0.250,-0.005,13,4,2.609,5.131,12.989,285,24,233,57,-0.0064,0.0125,0.0006,0.0014
2021-01-31T08:13:57.038833Z,64.060927,-21.392646,2.7139,0.04,0.184,true,0.713,0.135,0.262,-0.010,56,0.226,0.081,0.094,0.014,9,3,3.230,5.137,6.263,243,23,176,50,0.0005,0.0102,0.0013,0.0012
2021-01-31T06:59:31.252672Z,64.060718,-21.393103,2.6808,1.17,0.323,true,0.320,0.141,0.026,0.008,66,0.172,0.012,0.158,-0.030,23,0,3.190,7.029,11.613,333,0,375,0,-0.0032,0.0057,-0.0006,0.0009
2021-01-31T06:59:15.433026Z,64.060243,-21.395106,2.6216,0.38,0.127,true,0.257,0.363,-0.499,-0.207,62,0.678,0.205,0.319,-0.002,10,0,3.112,5.031,6.270,287,0,229,0,-0.0920,0.0014,-0.0007,0.0010
2021-01-31T06:58:41.41542Z,64.060239,-21.395087,2.6978,0.28,0.327,true,0.452,0.219,-0.240,0.048,69,0.265,0.094,0.141,0.016,14,10,3.184,5.357,10.019,306,25,291,66,-0.0185,0.0155,0.0004,0.0018
2021-01-31T06:58:11.642986Z,64.060556,-21.393760,2.7598,0.25,0.411,true,0.474,0.406,0.054,-0.005,57,0.604,0.174,0.256,-0.035,18,0,3.257,5.826,10.016,340,0,223,0,-0.0176,0.0254,0.0010,0.0029
2021-01-31T06:57:29.118435Z,64.060734,-21.392821,2.6695,0.23,0.386,true,0.417,0.116,0.005,0.010,62,0.190,0.055,0.115,0.015,17,5,3.181,5.489,9.970,280,18,255,84,-0.0016,0.0096,0.0002,0.0018
2021-01-31T06:57:06.015491Z,64.060503,-21.393618,2.6332,0.83,0.304,true,0.298,0.145,-0.014,0.004,63,0.152,0.036,0.120,-0.010,21,0,3.136,6.236,14.048,292,0,412,0,-0.0040,0.0115,-0.0002,0.0023
2021-01-31T06:56:53.628561Z,64.060642,-21.393316,2.6383,0.74,0.323,true,0.362,0.146,-0.165,0.011,66,0.199,0.037,0.173,-0.029,25,0,3.146,7.008,14.029,345,0,402,0,0.0022,0.0083,-0.0001,0.0024
2021-01-31T03:45:07.52624Z,64.049134,-21.241867,3.2740,0.29,0.184,true,0.358,0.167,0.277,0.015,66,0.243,0.048,0.314,0.041,19,10,5.109,8.138,13.370,246,66,348,80,0.0101,0.0066,0.0010,0.0028
